STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,TAX,Income Tax,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2000,,48,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2001,,48,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2002,,48,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2003,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2004,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2005,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2006,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2007,,43,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2008,,43,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2009,,43,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2010,,43,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2011,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2012,,52,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2013,,52,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2014,,52,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2015,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2016,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2017,,43.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2018,,43.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2019,,43.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2020,,43.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2021,,45.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,ESP,Spain,PERS_ITAX,Personal income tax,2022,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2002,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2003,,34,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2004,,33,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2005,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2006,,29,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2007,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2008,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2009,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2010,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2011,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2012,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2013,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2014,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,TOP_TRATE,Top tax rates,2015,,35,,A,,PC,Percentage,0,Units,,
